,,,,,Ultraserv Automated Services,,,
,,,,,"16722 Parkside Ave, ",,,
,,,,,"Cerritos, CA, 90703",,,
Product Rank Report,,,,,,,,
,,,,,,,,
Start Date,,End Date,,Report Date,,,,
2025-12-01,,2025-12-31,,12-23-2025 04:09:58 PST,,,,
,,,,,,,,
Rank,Item Description,Item #,Category,Quantity,Quantity(Previous period),Difference,Status,Amount
77,Pringles Original,PC11038,Chips,337,564,-227,▼,1220.32
78,Celsius Sparkling Orange 12oz,PC10788,Bev Other,336,434,-98,▼,1696.21
79,Starbucks Mocha Frappuccino RTD 9.5oz,PC10831,Bev Coffee & Tea,329,540,-211,▼,1880.05
80,El Monterey Beef and Bean Burrito,PC10938,Frozen Food,324,523,-199,▼,1097.65
81,Welchs Mixed Fruit Snack 2.25oz,PC11101,Candy,322,534,-212,▼,1200.47
82,Powerade Mountain Berry Blast 20oz,PC10823,Bev 20 Oz Bottle,311,580,-269,▼,1717.55
83,Nature's Bakery Fig Bar Blueberry,AVR16059,Healthy Bars,307,507,-200,▼,1188.13
84,Rice Krispies Treats Original 1.41oz,PC11045,Snack,307,523,-216,▼,1113.98
85,Pepsi Diet 20 oz,PC11156,Bev 20 Oz Bottle,303,532,-229,▼,1577.35
86,Celsius Sparkling Wild Berry 12oz,AVR19421,Bev Other,299,462,-163,▼,1518.55
87,Otis Muffin Wild Blueberry,PC11026,Pastry,298,394,-96,▼,1036.56
88,Razor,PC10943,Sundry Items,290,444,-154,▼,1680.5
89,Smartfood White Cheddar 1.75oz,AVR00140,Chips,286,455,-169,▼,1732.95
90,Cheetos Puffs,PC10893,Chips,276,514,-238,▼,1058.65
91,Otis Muffin Banana Nut,PC11024,Pastry,276,492,-216,▼,914.1
92,Bounce Fabric Softner,PC16535,Laundry,275,449,-174,▼,961.25
93,Haagen Dazs Chocolate Ice Cream 14oz,AVR17709,Frozen Ice Cream,264,423,-159,▼,3492.75
94,Sour Patch Kids,PC11068,Candy,262,431,-169,▼,963.04
95,Gatorade Lemon Lime 20oz,PC16274,Bev 20 Oz Bottle,254,384,-130,▼,1456.9
96,Pepto Bismol,PC11028,Sundry Items,253,416,-163,▼,1485.44
97,Rold Gold Pretzels Thins Original 3.5oz,AVR00141,Chips,247,365,-118,▼,1513.3
98,Starbucks Vanilla Frapuccino RTD 9.5oz,PC10832,Bev Coffee & Tea,244,396,-152,▼,1403.28
99,Hillshire Genoa Salame,AVR14642,Fresh,240,362,-122,▼,1530.91
100,M&M Plain,PC10986,Candy,238,376,-138,▼,948.11
101,Life Saver Gummies 5 Flavor Peg 7oz,PC16483,Candy,237,429,-192,▼,1293.61
102,Hillshire Italian Dry Salame,AVR14641,Fresh,236,328,-92,▼,1524.69
103,Powerade Fruit Punch 20oz,PC10822,Bev 20 Oz Bottle,236,407,-171,▼,1241.45
104,Cheetos Flamin Hot 2.75oz,AVR00144,Chips,231,377,-146,▼,1369.37
105,Blue Diamond Almonds Smokehouse,PC10874,Nuts,227,365,-138,▼,787.93
106,Dole Orange Juice,PC16264,Bev Juice,226,428,-202,▼,1077.68
107,Digiorno Pepperoni Cheese Pizza,PC21186,Frozen Food,223,460,-237,▼,2450.25
108,Skittles Sour,PC11062,Candy,222,389,-167,▼,888.78
109,Dr Pepper 12oz,PC14011,Bev 12 Oz Can,218,283,-65,▼,277.51
110,Cheetos Crunchy 2.75oz,AVR00601,Chips,209,376,-167,▼,1246.34
111,Hot Pocket Ham & Cheese,PC10958,Frozen Food,209,383,-174,▼,771
112,Core Power High Protein Shake Vanilla 14oz,AVR18525,Bev Other,203,318,-115,▼,1351.6
113,NyQuil,PC11020,Sundry Items,203,246,-43,▼,1200.75
114,Dolly Madison Chocolate Cupcakes,PC10925,Pastry,197,349,-152,▼,593.35
115,Nongshim Hot and Spicy Noodle Soup,PC11011,Hot Food,195,387,-192,▼,918.85
116,Pepsi Zero Sugar 20oz,AVR19999,Bev 20 Oz Bottle,191,323,-132,▼,1035.95
117,Cereal Froot Loops,PC10884,Cereal,190,387,-197,▼,821.95
118,Jack Links Teriyaki Beef Jerky 70 Cal,PC10962,Snack,188,334,-146,▼,875.59
119,Cereal Lucky Charms,AVR15436,Cereal,187,321,-134,▼,871.5
120,El Monterey Bean and Cheese Burrito,PC10937,Frozen Food,187,332,-145,▼,676.65
121,Nature's Bakery Fig Bar Strawberry,AVR16058,Healthy Bars,187,293,-106,▼,639.97
122,Doritos Nacho Cheese 2.5oz,AVR00147,Chips,184,335,-151,▼,1107.75
123,Vita Coco Pure Coconut Water 500ml,AVR19420,Bev Other,181,203,-22,▼,1010.97
124,Maruchan Lime Chili Chicken Cup Soup,PC10990,Hot Food,178,410,-232,▼,614.57
125,Coke Diet 12oz,PC16246,Bev 12 Oz Can,176,228,-52,▼,128.76
126,Tums Ultra Berry,PC21863,Sundry Items,175,313,-138,▼,1007.9
