,,,,,,,,,,,,,,,,Ultraserv Automated Services
,,,,,,,,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,,,,,,,,"Cerritos, CA, 90703"
Sales By Products Report,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Date,,,,End Date,,,,,,,,,,,Report Date,
2025-09-01,,,,2025-09-30,,,,,,,,,,,12-02-2025 20:51:57 PST,
,,,,,,,,,,,,,,,,
Micromarket,Product,Category,Cost,Selling Price,Total Sold,Total Sales,Sales Tax,Container Deposit,Other Tax,Other Fees,COGS,Subsidy,Gift Amount,Gross Sales,Total COGS,
Holiday Inn Express Pasadena Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,22,93.5,9.82,1.1,0,0,28.16,,0,104.42,39.08,
Clarion Hotel Market,Coke 20oz,Bev 20 Oz Bottle,1.27,5,23,115,8.91,1.15,0,0,29.21,,0,125.06,39.27,
Clarion Hotel Market,Coke 20oz,Bev 20 Oz Bottle,1.28,5,53,265,20.54,2.65,0,0,67.84,,0,288.19,91.03,
Days Inn & Suites Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,7,29.75,2.31,0.35,0,0,8.89,,0,32.41,11.55,
Days Inn & Suites Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,12,51,3.95,0.6,0,0,15.36,,0,55.55,19.91,
WorldMark Indio Activities Center Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,6,25.5,2.23,0.3,0,0,7.62,,8.92,28.03,10.15,
WorldMark Indio Activities Center Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,26,110.5,9.67,1.3,0,0,33.28,,525.63,121.47,44.25,
Travelodge LAX South,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,5,21.25,2.07,0.25,0,0,6.35,,0,23.57,8.67,
Travelodge LAX South,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,19,80.75,7.87,0.95,0,0,24.32,,0,89.57,33.14,
Best Western Plus Thousand Oaks Inn,Coke 20oz,Bev 20 Oz Bottle,1.27,4,10,40,2.9,0.5,0,0,12.7,,0,43.4,16.1,
Best Western Plus Thousand Oaks Inn,Coke 20oz,Bev 20 Oz Bottle,1.28,2.4,8,19.2,1.39,0.4,0,0,10.24,,0,20.99,12.03,
Best Western Plus Thousand Oaks Inn,Coke 20oz,Bev 20 Oz Bottle,1.28,4,22,88,6.38,1.1,0,0,28.16,,0,95.48,35.64,
Comfort Inn - Moreno Valley,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,3,12.75,1.12,0.15,0,0,3.81,,0,14.02,5.08,
Comfort Inn - Moreno Valley,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,8,34,2.98,0.4,0,0,10.24,,0,37.38,13.62,
WorldMark Mission Valley,Coke 20oz,Bev 20 Oz Bottle,1.27,4.5,8,36,2.79,0.4,0,0,10.16,,0,39.19,13.35,
WorldMark Mission Valley,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,14,63,4.88,0.7,0,0,17.92,,0,68.58,23.5,
