Micromarket,User Name,Date,Product Code,Product,Category,Change Type,Cost,Quantity,Total Product cost,Product price,Total Product Price,Site,TotalCost
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC10900,Cliff Bar Peanut Butter,Healthy Bars,Overage,1.42,2.0,2.84,4.75,9.5,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR09658,Mountain Diet Dew 20oz,Bev 20 Oz Bottle,Overage,1.05,1.0,1.05,6.0,6.0,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC10907,Crest Tooth Paste and Brush,Sundry Items,Overage,1.41,2.0,2.82,5.25,10.5,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC10730,Chobani Blueberry,Fresh,Overage,1.35,1.0,1.35,4.5,4.5,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC11007,Nature Valley Granola Oat & Honey,Healthy Bars,Overage,0.48,1.0,0.48,3.25,3.25,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR21371,Path Water WLB 20.3oz,Bev Water,Overage,1.05,9.0,9.45,9.5,85.5,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Overage,0.65,1.0,0.65,3.75,3.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR14642,Hillshire Genoa Salame,Fresh,Overage,2.36,1.0,2.36,8.5,8.5,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26212,FR ESL Buffalo Chicken Pinwheels 10.05oz,Fresh Food,Overage,3.29,1.0,3.29,11.49,11.49,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26211,FR Snack Double & Cheese Cup,Fresh Food,Overage,2.76,1.0,2.76,9.49,9.49,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11002,Motrin,Sundry Items,Overage,1.87,1.0,1.87,5.25,5.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR00149,Schweppe's Ginger Ale 20oz,Bev 20 Oz Bottle,Overage,1.05,1.0,1.05,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10884,Cereal Froot Loops,Cereal,Overage,1.32,1.0,1.32,5.0,5.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11016,Nongshim Spicy Shrimp Noodle Soup,Hot Food,Overage,1.4,1.0,1.4,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10762,Lunchables Turkey & Cheddar,Fresh,Overage,2.03,1.0,2.03,6.5,6.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11024,Otis Muffin Banana Nut,Pastry,Overage,0.88,1.0,0.88,3.75,3.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11054,Scope Mouthwash,Sundry Items,Overage,1.45,1.0,1.45,5.25,5.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR17709,Haagen Dazs Chocolate Ice Cream 14oz,Frozen Ice Cream,Overage,5.01,2.0,10.02,12.99,25.98,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10866,Benadryl,Sundry Items,Overage,2.26,1.0,2.26,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC14015,Aquafina 20oz,Bev Water,Overage,0.67,13.0,8.71,5.5,71.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10907,Crest Tooth Paste and Brush,Sundry Items,Overage,1.49,1.0,1.49,5.25,5.25,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11092,Tylenol Extra Strength,Sundry Items,Overage,1.77,1.0,1.77,5.25,5.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR15125,RXBAR Protein Blueberry,Healthy Bars,Overage,1.8,1.0,1.8,4.75,4.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR15123,Bare Baked Crunchy Cinnamon Apple Chips,Snack,Overage,1.95,2.0,3.9,5.75,11.5,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC10899,Cliff Bar Chocolate Chip,Healthy Bars,Overage,0.93,1.0,0.93,4.75,4.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR27452,Muscle Milk Vanilla 14oz,Bev Other,Overage,2.97,1.0,2.97,8.0,8.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10885,Cereal Frosted Flakes,Cereal,Overage,1.32,1.0,1.32,5.0,5.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11062,Skittles Sour,Candy,Overage,1.17,2.0,2.34,4.25,8.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC16529,Jack Links Peppered Beef Jerky 80 cal.,Snack,Overage,1.48,1.0,1.48,5.25,5.25,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11008,Nature Valley Granola Peanut Butter,Healthy Bars,Overage,0.5,2.0,1.0,3.25,6.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10909,DayQuil,Sundry Items,Overage,2.27,1.0,2.27,5.25,5.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR14655,Dr Pepper Zero 20oz,Bev 20 Oz Bottle,Overage,1.27,1.0,1.27,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC21853,Nestle Tollhouse Chocolate Chip Cookie Sandwich,Frozen Ice Cream,Overage,2.44,8.0,19.52,6.25,50.0,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,PC10821,Pepsi 20oz,Bev 20 Oz Bottle,Spoilage,1.04,8.0,8.32,6.0,48.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10821,Pepsi 20oz,Bev 20 Oz Bottle,Spoilage,1.04,24.0,24.96,6.0,144.0,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR17147,Starry 20oz,Bev 20 Oz Bottle,Spoilage,1.05,7.0,7.35,6.0,42.0,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR27342,FTY Cheese Enchilada with Spanish Rice & Beans,Fresh Food,Shrinkage,4.1,2.0,8.2,14.49,28.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26240,FR Fruit Mixed,Fresh Food,Shrinkage,2.75,7.0,19.25,9.49,66.43,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10751,FR SLB Triangle Club Wheat,Fresh Food,Shrinkage,2.64,1.0,2.64,8.99,8.99,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10885,Cereal Frosted Flakes,Cereal,Spoilage,1.32,5.0,6.6,5.0,25.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR15434,Cereal Cinnamon Toast Crunch,Cereal,Spoilage,1.22,2.0,2.44,5.0,10.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR15436,Cereal Lucky Charms,Cereal,Spoilage,1.22,5.0,6.1,5.0,25.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10886,Cereal Honey Nut Cheerios,Cereal,Spoilage,1.22,5.0,6.1,5.0,25.0,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR27445,SS Oreo Delight Dessert,Fresh Food,Shrinkage,2.28,2.0,4.56,8.99,17.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR27449,SS House Made Chicken Salad on Croissant Sandwich,Fresh Food,Shrinkage,4.94,1.0,4.94,16.49,16.49,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26240,FR Fruit Mixed,Fresh Food,Spoilage,2.75,1.0,2.75,9.49,9.49,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26232,FR SLB Triangle PBJ White,Fresh Food,Spoilage,1.92,1.0,1.92,8.99,8.99,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26234,FR Parfait Mixed Berry,Fresh Food,Shrinkage,2.4,2.0,4.8,8.99,17.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR19517,Anker Power Port 32W Wall Charger,Electronics,Shrinkage,9.02,2.0,18.04,20.99,41.98,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Spoilage,0.98,3.0,2.94,3.75,11.25,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10925,Dolly Madison Chocolate Cupcakes,Pastry,Spoilage,0.79,3.0,2.37,3.75,11.25,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR26217,FR SLB Croissant Ham,Fresh Food,Shrinkage,3.7,4.0,14.8,12.99,51.96,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR26211,FR Snack Double & Cheese Cup,Fresh Food,Shrinkage,2.76,2.0,5.52,9.49,18.98,,
