Location,Product ID,Quantity_Start,Quantity_End,Total_Depletion,Sales_Quantity,Sales_Value,Known_Adjustments_Qty,Shrinkage_Qty,Implied_Unit_Price,Shrinkage_Value
Stock,PC10816,14.0,0.0,14.0,0.0,0.0,0.0,14.0,5.705882352941177,79.88235294117648
Stock,PC11050,18.0,4.0,14.0,0.0,0.0,0.0,14.0,4.309152542372882,60.328135593220345
Stock,AVR25514,13.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
Stock,PC10958,19.0,6.0,13.0,0.0,0.0,0.0,13.0,3.547372881355932,46.11584745762712
Stock,PC10959,18.0,5.0,13.0,0.0,0.0,0.0,13.0,3.4792134831460677,45.22977528089888
Stock,AVR00146,24.0,13.0,11.0,0.0,0.0,0.0,11.0,6.111111111111111,67.22222222222221
Stock,AVR19413,11.0,0.0,11.0,0.0,0.0,0.0,11.0,3.394090909090909,37.335
Stock,AVR19467,11.0,0.0,11.0,0.0,0.0,0.0,11.0,4.626153846153847,50.88769230769232
Stock,PC10994,17.0,6.0,11.0,0.0,0.0,0.0,11.0,6.3125,69.4375
Stock,PC11010,22.0,11.0,11.0,0.0,0.0,0.0,11.0,8.349823232323233,91.84805555555556
Stock,PC14009,28.0,17.0,11.0,0.0,0.0,0.0,11.0,0.7751063829787234,8.526170212765956
Stock,PC16246,23.0,12.0,11.0,0.0,0.0,0.0,11.0,0.6722727272727272,7.395
Stock,AVR14642,13.0,3.0,10.0,0.0,0.0,0.0,10.0,6.466776859504132,64.66776859504132
Stock,AVR15586,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
Stock,AVR15729,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
Stock,PC10794,13.0,3.0,10.0,0.0,0.0,0.0,10.0,4.261904761904762,42.61904761904762
Stock,PC10821,11.0,1.0,10.0,0.0,0.0,0.0,10.0,5.0655882352941175,50.65588235294118
Stock,PC16462,13.0,3.0,10.0,0.0,0.0,0.0,10.0,0.41,4.1
Stock,AVR16101,9.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
Stock,PC10822,11.0,2.0,9.0,0.0,0.0,0.0,9.0,4.952919708029197,44.57627737226277
Stock,PC10937,19.0,10.0,9.0,0.0,0.0,0.0,9.0,3.629130434782609,32.66217391304348
Stock,PC10964,12.0,3.0,9.0,0.0,0.0,0.0,9.0,2.816923076923077,25.35230769230769
Stock,PC11045,15.0,6.0,9.0,0.0,0.0,0.0,9.0,3.4040331491712705,30.636298342541433
Stock,PC16526,10.0,1.0,9.0,0.0,0.0,0.0,9.0,1.19,10.709999999999999
Stock,AVR00149,27.0,19.0,8.0,0.0,0.0,0.0,8.0,5.6063829787234045,44.851063829787236
Stock,AVR09658,15.0,7.0,8.0,0.0,0.0,0.0,8.0,5.338541666666667,42.708333333333336
Stock,AVR16098,8.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
Stock,AVR19414,10.0,2.0,8.0,0.0,0.0,0.0,8.0,6.581458333333334,52.65166666666667
Stock,AVR19511,17.0,9.0,8.0,0.0,0.0,0.0,8.0,6.081325301204819,48.65060240963855
Stock,PC10799,8.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
Stock,PC10894,17.0,9.0,8.0,0.0,0.0,0.0,8.0,2.8445893719806765,22.756714975845412
Stock,PC10955,23.0,15.0,8.0,0.0,0.0,0.0,8.0,5.143415492957747,41.14732394366197
Stock,PC11026,9.0,1.0,8.0,0.0,0.0,0.0,8.0,3.528541666666667,28.228333333333335
Stock,PC16506,11.0,3.0,8.0,0.0,0.0,0.0,8.0,3.490842105263158,27.926736842105264
Stock,PC16521,10.0,2.0,8.0,0.0,0.0,0.0,8.0,2.5873809523809523,20.69904761904762
Stock,AVR19466,9.0,2.0,7.0,0.0,0.0,0.0,7.0,4.9206896551724135,34.4448275862069
Stock,AVR19999,18.0,11.0,7.0,0.0,0.0,0.0,7.0,5.473300970873787,38.31310679611651
Stock,AVR20474,13.0,6.0,7.0,0.0,0.0,0.0,7.0,6.042982456140351,42.300877192982455
Stock,AVR26219,7.0,0.0,7.0,0.0,0.0,0.0,7.0,9.44909090909091,66.14363636363636
Stock,PC00885,21.0,14.0,7.0,0.0,0.0,0.0,7.0,4.329781906300485,30.308473344103394
Stock,PC10874,9.0,2.0,7.0,0.0,0.0,0.0,7.0,3.6501,25.5507
Stock,PC10893,8.0,1.0,7.0,0.0,0.0,0.0,7.0,3.905333333333333,27.337333333333333
Stock,PC10935,17.0,10.0,7.0,0.0,0.0,0.0,7.0,5.917272727272728,41.42090909090909
Stock,PC11091,17.0,10.0,7.0,0.0,0.0,0.0,7.0,3.4256709956709956,23.97969696969697
Stock,PC11163,11.0,4.0,7.0,0.0,0.0,0.0,7.0,6.1118421052631575,42.7828947368421
Stock,PC14008,19.0,12.0,7.0,0.0,0.0,0.0,7.0,0.6649145299145299,4.65440170940171
Stock,PC16065,9.0,2.0,7.0,0.0,0.0,0.0,7.0,2.1020000000000003,14.714000000000002
Stock,PC16249,14.0,7.0,7.0,0.0,0.0,0.0,7.0,0.6634234234234234,4.643963963963964
Stock,AVR00150,6.0,0.0,6.0,0.0,0.0,0.0,6.0,5.716666666666667,34.3
Stock,AVR18728,11.0,5.0,6.0,0.0,0.0,0.0,6.0,1.1344,6.8064
Stock,AVR20335,10.0,4.0,6.0,0.0,0.0,0.0,6.0,3.411594202898551,20.469565217391306
Stock,PC10795,9.0,3.0,6.0,0.0,0.0,0.0,6.0,6.4125,38.474999999999994
Stock,PC10827,10.0,4.0,6.0,0.0,0.0,0.0,6.0,5.769159663865547,34.61495798319328
Stock,PC10978,9.0,3.0,6.0,0.0,0.0,0.0,6.0,3.611955555555556,21.671733333333336
Stock,PC11039,11.0,5.0,6.0,0.0,0.0,0.0,6.0,3.8433684210526318,23.060210526315792
Stock,PC16495,10.0,4.0,6.0,0.0,0.0,0.0,6.0,4.737142857142857,28.42285714285714
Stock,PC19079,6.0,0.0,6.0,0.0,0.0,0.0,6.0,1.755,10.53
Stock,AVR14634,15.0,10.0,5.0,0.0,0.0,0.0,5.0,3.8948275862068966,19.474137931034484
Stock,AVR15123,10.0,5.0,5.0,0.0,0.0,0.0,5.0,5.442592592592592,27.212962962962962
Stock,AVR15436,8.0,3.0,5.0,0.0,0.0,0.0,5.0,4.551136363636363,22.755681818181817
