SKU,Product,From,To,Qty
PC11002,Motrin,The Westin Long Beach,The Westin Long Beach,1.0
PC11007,Nature Valley Granola Oat & Honey,The Westin Long Beach,The Westin Long Beach,2.0
PC11008,Nature Valley Granola Peanut Butter,The Westin Long Beach,The Westin Long Beach,2.0
PC11010,Nestle Crunch Dibs,The Westin Long Beach,The Westin Long Beach,4.0
PC11013,Nongshim Mild Chicken Noodle Soup,The Westin Long Beach,The Westin Long Beach,1.0
PC11024,Otis Muffin Banana Nut,The Westin Long Beach,The Westin Long Beach,1.0
PC11026,Otis Muffin Wild Blueberry,The Westin Long Beach,The Westin Long Beach,3.0
PC11042,Red Vines Original 4oz Peg,The Westin Long Beach,The Westin Long Beach,1.0
PC11043,Reeses PB Cup,The Westin Long Beach,The Westin Long Beach,6.0
PC11054,Scope Mouthwash,The Westin Long Beach,The Westin Long Beach,1.0
PC11062,Skittles Sour,The Westin Long Beach,The Westin Long Beach,4.0
PC11068,Sour Patch Kids,The Westin Long Beach,The Westin Long Beach,3.0
PC11092,Tylenol Extra Strength,The Westin Long Beach,The Westin Long Beach,1.0
PC11156,Pepsi Diet 20 oz,The Westin Long Beach,The Westin Long Beach,1.0
PC14015,Aquafina 20oz,The Westin Long Beach,The Westin Long Beach,13.0
PC16236,Boulder Jalapeno Cheddar Chips,The Westin Long Beach,The Westin Long Beach,1.0
PC16264,Dole Orange Juice,The Westin Long Beach,The Westin Long Beach,2.0
PC16529,Jack Links Peppered Beef Jerky 80 cal.,The Westin Long Beach,The Westin Long Beach,1.0
PC21853,Nestle Tollhouse Chocolate Chip Cookie Sandwich,The Westin Long Beach,The Westin Long Beach,8.0
PC21854,Fiji Water 16.9oz,The Westin Long Beach,The Westin Long Beach,2.0
