location,product_id,sales_units,product_name,adj_qty,start_qty,end_qty,expected_qty,shrinkage_qty
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC11064,0.0,Snickers Ice Cream Bar,0.0,30.0,14.0,30.0,16.0
Ayres Hotel Manhattan Beach Hawthorne,AVR18525,2.0,Core Power High Protein Shake Vanilla 14oz,0.0,16.0,-1.0,14.0,15.0
HIE - Rancho Cucamonga Market,PC10825,0.0,Red Bull 8.4oz,0.0,15.0,0.0,15.0,15.0
Ayres Hotel Manhattan Beach Hawthorne,PC10805,0.0,Minute Maid Apple Juice 12oz,0.0,16.0,1.0,16.0,15.0
Best Western Plus Redondo Beach Inn,AVR14655,0.0,Dr Pepper Zero 20oz,0.0,15.0,0.0,15.0,15.0
Comfort Inn - Moreno Valley,PC10811,0.0,Monster Zero Ultra 16oz,0.0,15.0,0.0,15.0,15.0
Comfort Inn - Moreno Valley,PC10793,2.0,Dr Pepper 20oz,0.0,21.0,4.0,19.0,15.0
Cimarron Resort Condominium Association,PC10805,0.0,Minute Maid Apple Juice 12oz,0.0,15.0,0.0,15.0,15.0
Ayres Hotel Manhattan Beach Hawthorne,PC10806,0.0,Minute Maid Lemonade 20oz,0.0,15.0,0.0,15.0,15.0
Hyatt House Los Angeles-LAX-Manhattan Beach,PC16273,0.0,Crush Orange 20oz,0.0,15.0,0.0,15.0,15.0
Surestay Twentynine Palms Market,PC00885,2.0,Coke 20oz,0.0,55.0,39.0,53.0,14.0
Holiday Inn Express & Suites Hesperia Market,PC10793,10.0,Dr Pepper 20oz,0.0,31.0,7.0,21.0,14.0
Best Western Plus LAX Market,PC00885,0.0,Coke 20oz,0.0,21.0,7.0,21.0,14.0
HIE - Rancho Cucamonga Market,PC11010,0.0,Nestle Crunch Dibs,0.0,14.0,0.0,14.0,14.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10793,0.0,Dr Pepper 20oz,0.0,14.0,0.0,14.0,14.0
First Service Residential Shared Services Market,PC10788,0.0,Celsius Sparkling Orange 12oz,0.0,14.0,0.0,14.0,14.0
Crowne Plaza San Diego-Mission Valley,PC10896,0.0,Claritin,0.0,24.0,10.0,24.0,14.0
Ayres Hotel Anaheim,AVR23420,24.0,Troop Vodka Lemonade 200ml,0.0,29.0,-8.0,5.0,13.0
Comfort Inn - Gaslamp Convention Center,PC10726,4.0,Smart Water 1L,0.0,107.0,90.0,103.0,13.0
HIE - Rancho Cucamonga Market,PC10934,0.0,Dove Milk Chocolate Almond Bar,0.0,13.0,0.0,13.0,13.0
Cimarron Resort Condominium Association,PC00886,0.0,Coke Diet 20oz,0.0,12.0,-1.0,12.0,13.0
Best Western Oceanside Inn,PC10882,0.0,Butterfinger,0.0,15.0,2.0,15.0,13.0
Comfort Inn - Gaslamp Convention Center,PC10793,7.0,Dr Pepper 20oz,0.0,21.0,1.0,14.0,13.0
Surestay Twentynine Palms Market,PC10790,0.0,Coke Zero 20oz,0.0,20.0,7.0,20.0,13.0
BLVD Hotel & Spa,PC00885,16.0,Coke 20oz,0.0,45.0,16.0,29.0,13.0
Fairfield by Marriott Anaheim North-Buena Park,PC16506,3.0,El Monterey Egg Sausage Cheese & Potato Burrito,0.0,16.0,0.0,13.0,13.0
Motel 6 Carson,PC10892,1.0,Cheetos Flamin Hot Limon,0.0,22.0,8.0,21.0,13.0
SureStay Plus Hotel By Best Western Upland Market,PC00888,13.0,Smart Water 20oz,0.0,47.0,22.0,34.0,12.0
BLVD Hotel & Spa,PC19076,6.0,San Pellegrino Sparkling Mineral Water 16.9oz,0.0,31.0,13.0,25.0,12.0
Courtyard Chino Hills,AVR00156,0.0,Haagen Dazs Milk Chocolate Almond Ice Cream Bar,0.0,12.0,0.0,12.0,12.0
Comfort Inn - Gaslamp Convention Center,PC10978,0.0,Lays Regular Classic,0.0,12.0,0.0,12.0,12.0
Best Western Plus Meridian Market,PC00885,16.0,Coke 20oz,0.0,42.0,14.0,26.0,12.0
Best Western Oceanside Inn,PC00889,0.0,Snickers,0.0,14.0,2.0,14.0,12.0
Holiday Inn Diamond Bar-Pomona,AVR18528,0.0,Fairlife 2% Reduced Fat Ultra-Filtered Milk 14oz,0.0,14.0,2.0,14.0,12.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,AVR08848,0.0,Chester's Fries Flamin Hot,0.0,11.0,0.0,11.0,11.0
Ramada by Wyndham Hawthorne-LA Stadium,PC10808,0.0,Monster 16oz,0.0,21.0,10.0,21.0,11.0
Comfort Inn - Gaslamp Convention Center,PC11043,0.0,Reeses PB Cup,0.0,11.0,0.0,11.0,11.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,AVR20335,0.0,Lays Limon 1.5oz,0.0,11.0,0.0,11.0,11.0
Holiday Inn Express - Lake Forest Market,PC11157,3.0,Dasani 20oz,0.0,33.0,19.0,30.0,11.0
Queens Inn Anaheim,PC10932,0.0,Doritos Nacho Cheese,0.0,11.0,0.0,11.0,11.0
HIE - Rancho Cucamonga Market,PC10937,0.0,El Monterey Bean and Cheese Burrito,0.0,11.0,0.0,11.0,11.0
HIE - Rancho Cucamonga Market,PC10958,0.0,Hot Pocket Ham & Cheese,0.0,11.0,0.0,11.0,11.0
HIE - Rancho Cucamonga Market,PC10959,0.0,Hot Pocket Pepperoni Pizza,0.0,11.0,0.0,11.0,11.0
HIE - Rancho Cucamonga Market,PC10931,0.0,Doritos Cool Ranch,0.0,11.0,0.0,11.0,11.0
Surestay Twentynine Palms Market,PC10892,0.0,Cheetos Flamin Hot Limon,0.0,24.0,13.0,24.0,11.0
Best Western Plus Heritage Inn Rancho Cucamonga,PC00889,7.0,Snickers,0.0,19.0,1.0,12.0,11.0
Inn at the Park,PC10793,0.0,Dr Pepper 20oz,0.0,18.0,7.0,18.0,11.0
