location,product_id,sales_units,product_name,adj_qty,start_qty,end_qty,expected_qty,shrinkage_qty
WorldMark Palm Springs,PC11064,6.0,Snickers Ice Cream Bar,0.0,22.0,12.0,16.0,4.0
WorldMark San Diego Balboa Park,PC10931,2.0,Doritos Cool Ranch,0.0,10.0,4.0,8.0,4.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC14016,0.0,Gatorade Zero Glacier Freeze 20oz,0.0,6.0,2.0,6.0,4.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC00889,0.0,Snickers,0.0,16.0,12.0,16.0,4.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10955,0.0,Hersheys Almond King,0.0,16.0,12.0,16.0,4.0
Ramada National City Market,AVR19517,0.0,Anker Power Port 32W Wall Charger,0.0,4.0,0.0,4.0,4.0
Holiday Inn Express & Suites Hesperia Market,PC11042,3.0,Red Vines Original 4oz Peg,0.0,15.0,8.0,12.0,4.0
Holiday Inn Express & Suites Barstow,PC10790,3.0,Coke Zero 20oz,0.0,13.0,6.0,10.0,4.0
Holiday Inn Express & Suites Barstow,AVR18528,7.0,Fairlife 2% Reduced Fat Ultra-Filtered Milk 14oz,0.0,15.0,4.0,8.0,4.0
Holiday Inn Express & Suites Barstow,AVR00156,5.0,Haagen Dazs Milk Chocolate Almond Ice Cream Bar,0.0,12.0,3.0,7.0,4.0
Courtyard Chino Hills,PC10825,0.0,Red Bull 8.4oz,0.0,6.0,2.0,6.0,4.0
Courtyard Chino Hills,PC10762,0.0,Lunchables Turkey & Cheddar,0.0,5.0,1.0,5.0,4.0
WorldMark San Diego Balboa Park,PC11101,0.0,Welchs Mixed Fruit Snack 2.25oz,0.0,16.0,12.0,16.0,4.0
WorldMark San Diego Balboa Park,PC10827,0.0,Red Bull Sugar Free 8.4oz,0.0,4.0,0.0,4.0,4.0
Altura HOC 1st Floor Market,AVR26014,1.0,Crystal Geyser 16.9oz,0.0,78.0,73.0,77.0,4.0
Inn at the Park,PC10971,0.0,Kit Kat King,0.0,11.0,7.0,11.0,4.0
Days Inn & Suites Anaheim,PC10892,4.0,Cheetos Flamin Hot Limon,0.0,10.0,2.0,6.0,4.0
SureStay Hotel by Best Western Beverly Hills,PC00886,0.0,Coke Diet 20oz,0.0,10.0,6.0,10.0,4.0
Hyatt House Los Angeles-LAX-Manhattan Beach,PC11010,0.0,Nestle Crunch Dibs,0.0,25.0,21.0,25.0,4.0
La Quinta Inn and Suites La Habra,PC11081,2.0,Sweet Serenity Chocolate Chip Cookies,0.0,8.0,3.0,6.0,3.0
Motel 6 Buena Park,PC10889,0.0,Cheetos Crunchy,0.0,5.0,2.0,5.0,3.0
Travelodge Commerce Market,AVR14634,0.0,Sour Patch Kids Watermelon,0.0,5.0,2.0,5.0,3.0
Travelodge Commerce Market,PC10991,0.0,Maruchan Lime Chili Shrimp Cup Soup,0.0,11.0,8.0,11.0,3.0
City24 Hotel- Little Italy Mission Hills,PC10990,0.0,Maruchan Lime Chili Chicken Cup Soup,0.0,12.0,9.0,12.0,3.0
Travelodge Commerce Market,PC10891,0.0,Cheetos Flamin Hot,0.0,16.0,13.0,16.0,3.0
Travelodge Commerce Market,PC11061,0.0,Skittles Fruit,0.0,6.0,3.0,6.0,3.0
Travelodge Commerce Market,PC10988,0.0,Maruchan Ramen Bowl Soup Hot & Spicy,0.0,6.0,3.0,6.0,3.0
Travelodge Commerce Market,PC11162,0.0,Dunkin Donuts French Vanilla 13.7 oz,0.0,6.0,3.0,6.0,3.0
Best Western Plus Meridian Market,PC10796,6.0,Fanta Orange 20oz,0.0,14.0,5.0,8.0,3.0
Best Western Plus LAX Market,PC14013,1.0,Dole Apple Juice,0.0,16.0,12.0,15.0,3.0
MainStay Suites Moreno Valley,PC10971,2.0,Kit Kat King,0.0,7.0,2.0,5.0,3.0
MainStay Suites Moreno Valley,PC10959,2.0,Hot Pocket Pepperoni Pizza,0.0,11.0,6.0,9.0,3.0
Ramada by Wyndham Barstow,PC10886,0.0,Cereal Honey Nut Cheerios,0.0,9.0,6.0,9.0,3.0
Ramada by Wyndham Barstow,AVR16059,0.0,Nature's Bakery Fig Bar Blueberry,0.0,18.0,15.0,18.0,3.0
Best Western Plus Meridian Market,PC16501,1.0,Amys Enchilada Cheese,0.0,6.0,2.0,5.0,3.0
Bobrick Market,PC11008,0.0,Nature Valley Granola Peanut Butter,0.0,12.0,9.0,12.0,3.0
Bobrick Market,PC10876,0.0,Boulder Hickory BBQ Chips,0.0,9.0,6.0,9.0,3.0
HIE - Rancho Cucamonga Market,PC11039,0.0,Pringles Sour Cream & Onion,0.0,3.0,0.0,3.0,3.0
Miyako Torrance Market,PC10988,4.0,Maruchan Ramen Bowl Soup Hot & Spicy,0.0,9.0,2.0,5.0,3.0
Miyako LA Downtown Market,PC10959,0.0,Hot Pocket Pepperoni Pizza,0.0,12.0,9.0,12.0,3.0
Motel 6 Westminster North,PC10793,2.0,Dr Pepper 20oz,0.0,29.0,24.0,27.0,3.0
Bobrick Market,PC10900,1.0,Cliff Bar Peanut Butter,0.0,11.0,7.0,10.0,3.0
Best Western Plus West Covina Inn,PC10971,2.0,Kit Kat King,0.0,23.0,18.0,21.0,3.0
Best Western Plus Heritage Inn Rancho Cucamonga,PC11068,6.0,Sour Patch Kids,0.0,21.0,12.0,15.0,3.0
Best Western Plus Redondo Beach Inn,PC10811,5.0,Monster Zero Ultra 16oz,0.0,16.0,8.0,11.0,3.0
Best Western Plus Redondo Beach Inn,PC10796,6.0,Fanta Orange 20oz,0.0,9.0,0.0,3.0,3.0
Motel 6 Carson,PC16523,2.0,Dolly Madison Golden Cream Cake,0.0,8.0,3.0,6.0,3.0
Motel 6 Carson,PC10909,2.0,DayQuil,0.0,10.0,5.0,8.0,3.0
HIE - Rancho Cucamonga Market,PC10936,0.0,Easy Mac Original Cups,0.0,3.0,0.0,3.0,3.0
HIE - Rancho Cucamonga Market,AVR18528,0.0,Fairlife 2% Reduced Fat Ultra-Filtered Milk 14oz,0.0,3.0,0.0,3.0,3.0
The Westin Pasadena,PC19049,0.0,Quaker Oatmeal Apple & Cinnamon,0.0,16.0,13.0,16.0,3.0
Holiday Inn & Suites Barstow,PC10955,2.0,Hersheys Almond King,0.0,21.0,16.0,19.0,3.0
Motel 6 Westminster North,PC11063,2.0,Smartfood White Cheddar Popcorn,0.0,12.0,7.0,10.0,3.0
Holiday Inn Diamond Bar-Pomona,PC10990,0.0,Maruchan Lime Chili Chicken Cup Soup,0.0,17.0,14.0,17.0,3.0
Holiday Inn & Suites Anaheim,PC16506,0.0,El Monterey Egg Sausage Cheese & Potato Burrito,0.0,16.0,13.0,16.0,3.0
Best Western Plus Pavilions,PC16535,0.0,Bounce Fabric Softner,0.0,9.0,6.0,9.0,3.0
Best Western Plus Park Place Anaheim,PC11021,0.0,Old Spice Deodorant,0.0,11.0,8.0,11.0,3.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,AVR26212,0.0,FR ESL Buffalo Chicken Pinwheels 10.05oz,0.0,5.0,2.0,5.0,3.0
Hawthorn Suites by Wyndham Victorville Market,PC00886,0.0,Coke Diet 20oz,0.0,16.0,13.0,16.0,3.0
WorldMark Palm Springs Plaza Resort & Spa,PC11163,0.0,Dunkin Donuts Mocha 13.7oz,0.0,6.0,3.0,6.0,3.0
Club Wyndham Harbour Lights,PC10892,2.0,Cheetos Flamin Hot Limon,0.0,5.0,0.0,3.0,3.0
Ayres Hotel Chino Hills,AVR22398,10.0,Beer Estrella Jalisco Can 12oz,0.0,53.0,40.0,43.0,3.0
WorldMark Palm Springs,PC11074,0.0,Stouffers Lasagna with Meat Sauce,0.0,11.0,8.0,11.0,3.0
Quality Inn & Suites Camarillo-Oxnard,PC11061,2.0,Skittles Fruit,0.0,12.0,7.0,10.0,3.0
Quality Inn & Suites Camarillo-Oxnard,PC11043,3.0,Reeses PB Cup,0.0,12.0,6.0,9.0,3.0
Anaheim Desert Inn and Suites,PC21853,3.0,Nestle Tollhouse Chocolate Chip Cookie Sandwich,0.0,23.0,17.0,20.0,3.0
Four Points Sheraton - Ventura,AVR17709,1.0,Haagen Dazs Chocolate Ice Cream 14oz,0.0,16.0,12.0,15.0,3.0
Best Western Plus Redondo Beach Inn,PC10851,0.0,Albanese Gummi Bears 12 Flavor - 3.5oz,0.0,7.0,4.0,7.0,3.0
Best Western Plus LAX Market,PC10990,0.0,Maruchan Lime Chili Chicken Cup Soup,0.0,12.0,9.0,12.0,3.0
Altura HOC 2nd Floor Market,PC00888,3.0,Smart Water 20oz,0.0,34.0,28.0,31.0,3.0
Holiday Inn Diamond Bar-Pomona,PC10941,0.0,SnakClub Energizer Trail Mix Premium,0.0,5.0,2.0,5.0,3.0
Surestay Twentynine Palms Market,PC10932,0.0,Doritos Nacho Cheese,0.0,20.0,17.0,20.0,3.0
Surestay Twentynine Palms Market,PC11039,0.0,Pringles Sour Cream & Onion,0.0,24.0,21.0,24.0,3.0
Surestay Twentynine Palms Market,PC11024,0.0,Otis Muffin Banana Nut,0.0,3.0,0.0,3.0,3.0
Comfort Inn & Suites Near Universal N. Hollywood,PC11061,1.0,Skittles Fruit,0.0,22.0,18.0,21.0,3.0
Comfort Inn & Suites Near Universal N. Hollywood,PC10971,4.0,Kit Kat King,0.0,22.0,15.0,18.0,3.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,PC10866,7.0,Benadryl,0.0,23.0,13.0,16.0,3.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,AVR23689,2.0,Disney Head Straw Tumbler Minnie,0.0,13.0,8.0,11.0,3.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,AVR23688,4.0,Disney Head Straw Tumbler Mickey,0.0,16.0,9.0,12.0,3.0
Long Beach Convention Center Promenade,PC10972,0.0,Knotts Strawberry Cookie,0.0,9.0,6.0,9.0,3.0
Ramada National City Market,AVR15434,0.0,Cereal Cinnamon Toast Crunch,0.0,3.0,0.0,3.0,3.0
Long Beach Convention Center Promenade,PC10941,0.0,SnakClub Energizer Trail Mix Premium,0.0,19.0,16.0,19.0,3.0
Anaheim Desert Inn and Suites,PC10938,1.0,El Monterey Beef and Bean Burrito,0.0,16.0,12.0,15.0,3.0
Anaheim Desert Inn and Suites,PC10989,4.0,Maruchan Chicken Cup Soup,0.0,22.0,15.0,18.0,3.0
Ramada by Wyndham Barstow,PC11045,0.0,Rice Krispies Treats Original 1.41oz,0.0,12.0,9.0,12.0,3.0
Ramada by Wyndham Barstow,PC10806,0.0,Minute Maid Lemonade 20oz,0.0,13.0,10.0,13.0,3.0
Days Inn & Suites Anaheim,PC10941,0.0,SnakClub Energizer Trail Mix Premium,0.0,8.0,5.0,8.0,3.0
Best Western Plus LAX Market,PC10799,0.0,Gatorade Orange 20oz,0.0,3.0,0.0,3.0,3.0
Best Western Plus LAX Market,PC10941,0.0,SnakClub Energizer Trail Mix Premium,0.0,5.0,2.0,5.0,3.0
Days Inn & Suites Anaheim,PC10972,0.0,Knotts Strawberry Cookie,0.0,8.0,5.0,8.0,3.0
Holiday Inn Diamond Bar-Pomona,PC11081,0.0,Sweet Serenity Chocolate Chip Cookies,0.0,10.0,7.0,10.0,3.0
Anaheim Desert Inn and Suites,PC11063,7.0,Smartfood White Cheddar Popcorn,0.0,23.0,13.0,16.0,3.0
Ayres Hotel Manhattan Beach Hawthorne,PC00886,3.0,Coke Diet 20oz,0.0,30.0,24.0,27.0,3.0
Ramada by Wyndham Hawthorne-LA Stadium,PC10894,1.0,Cheez-It,0.0,4.0,0.0,3.0,3.0
BLVD Hotel & Spa,PC10796,2.0,Fanta Orange 20oz,0.0,23.0,18.0,21.0,3.0
Lincoln Hotel Monterey Park,PC11092,0.0,Tylenol Extra Strength,0.0,12.0,9.0,12.0,3.0
Lincoln Hotel Monterey Park,PC11045,0.0,Rice Krispies Treats Original 1.41oz,0.0,10.0,7.0,10.0,3.0
Lincoln Hotel Monterey Park,AVR19413,0.0,Wonderful Pistachios 100Cal Sweet Chili 1.25oz,0.0,11.0,8.0,11.0,3.0
"Sandbourne Santa Monica, Autograph Collection",AVR16058,3.0,Nature's Bakery Fig Bar Strawberry,0.0,24.0,18.0,21.0,3.0
Embassy Suites by Hilton Anaheim North,AVR26295,0.0,Disney Mug RG Daisy Purple,0.0,3.0,0.0,3.0,3.0
Lincoln Hotel Monterey Park,PC21853,0.0,Nestle Tollhouse Chocolate Chip Cookie Sandwich,0.0,20.0,17.0,20.0,3.0
"Sandbourne Santa Monica, Autograph Collection",PC10882,14.0,Butterfinger,0.0,36.0,19.0,22.0,3.0
Courtyard Chino Hills,AVR00141,0.0,Rold Gold Pretzels Thins Original 3.5oz,0.0,9.0,6.0,9.0,3.0
Desert Palms Market,AVR18857,0.0,Dramamine Motion Sickness Chewable,0.0,21.0,18.0,21.0,3.0
Holiday Inn Express & Suites Barstow,PC14014,0.0,Digiorno Four Cheese Pizza,0.0,10.0,7.0,10.0,3.0
Best Western Oceanside Inn,PC10892,0.0,Cheetos Flamin Hot Limon,0.0,6.0,3.0,6.0,3.0
Holiday Inn Express & Suites Barstow,PC11042,0.0,Red Vines Original 4oz Peg,0.0,6.0,3.0,6.0,3.0
Desert Palms Market,PC10874,0.0,Blue Diamond Almonds Smokehouse,0.0,21.0,18.0,21.0,3.0
Holiday Inn Express & Suites Barstow,PC10888,0.0,Chapstick,0.0,7.0,4.0,7.0,3.0
Courtyard Chino Hills,PC16485,0.0,Reeses Pieces Peanut Butter Cups,0.0,8.0,5.0,8.0,3.0
San Manuel Service Center,PC10880,1.0,Bumble Bee Chicken Salad & Crackers 3.5oz,0.0,5.0,1.0,4.0,3.0
Holiday Inn Express & Suites Barstow,PC10989,2.0,Maruchan Chicken Cup Soup,0.0,12.0,7.0,10.0,3.0
Holiday Inn Express & Suites Barstow,PC21186,6.0,Digiorno Pepperoni Cheese Pizza,0.0,11.0,2.0,5.0,3.0
Ramada by Wyndham Barstow,PC10931,0.0,Doritos Cool Ranch,0.0,11.0,8.0,11.0,3.0
Ramada by Wyndham Barstow,PC10978,0.0,Lays Regular Classic,0.0,10.0,7.0,10.0,3.0
Holiday Inn Express & Suites Ventura,PC10889,2.0,Cheetos Crunchy,0.0,22.0,17.0,20.0,3.0
First Service Residential Shared Services Market,PC10889,2.0,Cheetos Crunchy,0.0,16.0,11.0,14.0,3.0
Fairfield Inn/TownePlace Suites Barstow,PC11062,2.0,Skittles Sour,0.0,28.0,23.0,26.0,3.0
Holiday Inn Express & Suites San Dimas,PC11162,1.0,Dunkin Donuts French Vanilla 13.7 oz,0.0,5.0,1.0,4.0,3.0
Best Western Oceanside Inn,PC10805,0.0,Minute Maid Apple Juice 12oz,0.0,15.0,12.0,15.0,3.0
Comfort Suites Barstow,PC10899,0.0,Cliff Bar Chocolate Chip,0.0,13.0,10.0,13.0,3.0
Club Wyndham Oceanside Pier Resort,PC10955,4.0,Hersheys Almond King,0.0,18.0,11.0,14.0,3.0
Comfort Inn - Gaslamp Convention Center,PC10931,2.0,Doritos Cool Ranch,0.0,12.0,7.0,10.0,3.0
Embassy Suites by Hilton Anaheim North,AVR20402,0.0,Disney Mug RG Stitch Blue,0.0,3.0,0.0,3.0,3.0
WorldMark Big Bear,PC14016,0.0,Gatorade Zero Glacier Freeze 20oz,0.0,12.0,9.0,12.0,3.0
WorldMark Big Bear,PC10825,0.0,Red Bull 8.4oz,0.0,39.0,36.0,39.0,3.0
Comfort Inn - Gaslamp Convention Center,PC00885,4.0,Coke 20oz,0.0,25.0,18.0,21.0,3.0
Comfort Inn - Gaslamp Convention Center,AVR25512,2.0,Peace Tea Georgia Peach 16oz,0.0,12.0,7.0,10.0,3.0
Best Western Oceanside Inn,PC10851,0.0,Albanese Gummi Bears 12 Flavor - 3.5oz,0.0,10.0,7.0,10.0,3.0
WorldMark Big Bear,PC11004,0.0,Munchies Flamin Hot,0.0,6.0,3.0,6.0,3.0
HIE - Manchester Market,PC10984,1.0,M&M Peanut,0.0,5.0,1.0,4.0,3.0
Lincoln Hotel Monterey Park,PC11062,0.0,Skittles Sour,0.0,12.0,9.0,12.0,3.0
Ramada Anaheim Convention Center,PC10808,0.0,Monster 16oz,0.0,6.0,3.0,6.0,3.0
FFI - Moorpark Market,PC21222,10.0,Pure Leaf Sweet Tea - 18.5oz,0.0,14.0,1.0,4.0,3.0
Queens Inn Anaheim,PC00887,0.0,Sprite 20oz,0.0,10.0,7.0,10.0,3.0
Holiday Inn Express Port Hueneme,PC10823,4.0,Powerade Mountain Berry Blast 20oz,0.0,14.0,7.0,10.0,3.0
Holiday Inn Express & Suites San Dimas,PC10894,0.0,Cheez-It,0.0,9.0,6.0,9.0,3.0
Holiday Inn Express Pasadena Market,PC10907,2.0,Crest Tooth Paste and Brush,0.0,10.0,5.0,8.0,3.0
Holiday Inn Express & Suites Hesperia Market,PC11162,0.0,Dunkin Donuts French Vanilla 13.7 oz,0.0,8.0,5.0,8.0,3.0
Best Western Norwalk Inn,PC10941,0.0,SnakClub Energizer Trail Mix Premium,0.0,8.0,5.0,8.0,3.0
Best Western Norwalk Inn,PC10825,0.0,Red Bull 8.4oz,0.0,16.0,13.0,16.0,3.0
Best Western Norwalk Inn,PC00886,0.0,Coke Diet 20oz,0.0,9.0,6.0,9.0,3.0
Queens Inn Anaheim,PC10936,0.0,Easy Mac Original Cups,0.0,8.0,5.0,8.0,3.0
Queens Inn Anaheim,PC11011,0.0,Nongshim Hot and Spicy Noodle Soup,0.0,6.0,3.0,6.0,3.0
Queens Inn Anaheim,PC11013,0.0,Nongshim Mild Chicken Noodle Soup,0.0,8.0,5.0,8.0,3.0
Holiday Inn Express & Suites Barstow,PC10891,4.0,Cheetos Flamin Hot,0.0,10.0,3.0,6.0,3.0
Ramada by Wyndham Hawthorne-LA Stadium,AVR17394,0.0,Dentek Flossers,0.0,11.0,8.0,11.0,3.0
Ramada by Wyndham Barstow,PC10955,0.0,Hersheys Almond King,0.0,22.0,19.0,22.0,3.0
Comfort Inn - Moreno Valley,PC11043,0.0,Reeses PB Cup,0.0,8.0,5.0,8.0,3.0
Surestay Twentynine Palms Market,PC10955,0.0,Hersheys Almond King,0.0,12.0,9.0,12.0,3.0
Surestay Twentynine Palms Market,PC00889,0.0,Snickers,0.0,5.0,2.0,5.0,3.0
Surestay Twentynine Palms Market,PC11015,0.0,Nongshim Spicy Shin Noodle Soup,0.0,5.0,2.0,5.0,3.0
Embassy Suites by Hilton Palm Desert,PC11002,0.0,Motrin,0.0,7.0,4.0,7.0,3.0
Surestay Twentynine Palms Market,PC10989,0.0,Maruchan Chicken Cup Soup,0.0,6.0,3.0,6.0,3.0
Comfort Inn - Moreno Valley,PC11157,6.0,Dasani 20oz,0.0,145.0,136.0,139.0,3.0
Comfort Inn - Moreno Valley,PC10889,2.0,Cheetos Crunchy,0.0,6.0,1.0,4.0,3.0
Fairfield Inn/TownePlace Suites Barstow,PC10798,10.0,Gatorade Cool Blue 20oz,0.0,34.0,21.0,24.0,3.0
Embassy Suites by Hilton Palm Desert,AVR14641,0.0,Hillshire Italian Dry Salame,0.0,21.0,18.0,21.0,3.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10931,0.0,Doritos Cool Ranch,0.0,9.0,6.0,9.0,3.0
Embassy Suites by Hilton Palm Desert,PC10886,0.0,Cereal Honey Nut Cheerios,0.0,12.0,9.0,12.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,AVR18758,3.0,Core Power High Protein Shake Chocolate 14oz,0.0,6.0,0.0,3.0,3.0
Holiday Inn Hotel & Suites Monterey Park,PC11068,3.0,Sour Patch Kids,0.0,14.0,8.0,11.0,3.0
Holiday Inn Express Port Hueneme,PC11091,8.0,Twix Caramel,0.0,28.0,17.0,20.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC11162,5.0,Dunkin Donuts French Vanilla 13.7 oz,0.0,19.0,11.0,14.0,3.0
Holiday Inn Express Port Hueneme,PC21186,0.0,Digiorno Pepperoni Cheese Pizza,0.0,6.0,3.0,6.0,3.0
FFI - Moorpark Market,PC11022,0.0,OREO Mini Bite Size,0.0,13.0,10.0,13.0,3.0
Holiday Inn Express Pasadena Market,PC11039,0.0,Pringles Sour Cream & Onion,0.0,8.0,5.0,8.0,3.0
Holiday Inn Express - Lake Forest Market,PC11026,0.0,Otis Muffin Wild Blueberry,0.0,3.0,0.0,3.0,3.0
Comfort Inn - Moreno Valley,PC10827,0.0,Red Bull Sugar Free 8.4oz,0.0,16.0,13.0,16.0,3.0
Comfort Inn - Gaslamp Convention Center,PC11062,0.0,Skittles Sour,0.0,12.0,9.0,12.0,3.0
The Westin Long Beach,AVR26250,1.0,SS Better Bites Bistro Box,-4.0,0.0,0.0,3.0,3.0
FFI - Moorpark Market,PC10968,0.0,Kind Cranberry Almond & Antiox,0.0,10.0,7.0,10.0,3.0
The Anza A Calabasas Hotel,PC11088,5.0,Trident Spearmint,0.0,16.0,8.0,11.0,3.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10831,0.0,Starbucks Mocha Frappuccino RTD 9.5oz,0.0,6.0,3.0,6.0,3.0
Dolphin's Cove,PC11157,10.0,Dasani 20oz,0.0,36.0,23.0,26.0,3.0
Dolphin's Cove,PC10984,4.0,M&M Peanut,0.0,22.0,15.0,18.0,3.0
Best Western Hesperia Victorville Suites,PC11092,0.0,Tylenol Extra Strength,0.0,11.0,8.0,11.0,3.0
Executive Residency by Best Western Victorville,AVR19515,0.0,Anker USB-C to USB-C 10ft Cable,0.0,3.0,0.0,3.0,3.0
Best Western Diamond Bar,PC10899,0.0,Cliff Bar Chocolate Chip,0.0,3.0,0.0,3.0,3.0
Best Western Diamond Bar,PC11042,0.0,Red Vines Original 4oz Peg,0.0,6.0,3.0,6.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC10931,2.0,Doritos Cool Ranch,0.0,11.0,6.0,9.0,3.0
WorldMark Big Bear,AVR00149,1.0,Schweppe's Ginger Ale 20oz,0.0,5.0,1.0,4.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC10851,1.0,Albanese Gummi Bears 12 Flavor - 3.5oz,0.0,6.0,2.0,5.0,3.0
WorldMark - Oceanside Market,PC11043,8.0,Reeses PB Cup,0.0,21.0,10.0,13.0,3.0
Ramada National City Market,PC10988,0.0,Maruchan Ramen Bowl Soup Hot & Spicy,0.0,3.0,0.0,3.0,3.0
Ramada National City Market,PC11061,0.0,Skittles Fruit,0.0,3.0,0.0,3.0,3.0
Ramada National City Market,PC11092,0.0,Tylenol Extra Strength,0.0,11.0,8.0,11.0,3.0
Ramada National City Market,PC11013,0.0,Nongshim Mild Chicken Noodle Soup,0.0,5.0,2.0,5.0,3.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10876,0.0,Boulder Hickory BBQ Chips,0.0,11.0,8.0,11.0,3.0
First Service Residential Shared Services Market,PC10984,0.0,M&M Peanut,0.0,9.0,6.0,9.0,3.0
Comfort Inn - Gaslamp Convention Center,PC11081,0.0,Sweet Serenity Chocolate Chip Cookies,0.0,8.0,5.0,8.0,3.0
The Westin Pasadena,AVR20432,5.0,Tonys Chocolonely Milk Chocolate Bar 6.35oz,0.0,8.0,0.0,3.0,3.0
Behr Standard Market,AVR26212,0.0,FR ESL Buffalo Chicken Pinwheels 10.05oz,0.0,9.0,6.0,9.0,3.0
Comfort Inn - Gaslamp Convention Center,PC11092,0.0,Tylenol Extra Strength,0.0,9.0,6.0,9.0,3.0
BLVD Hotel & Spa,AVR14641,3.0,Hillshire Italian Dry Salame,0.0,11.0,5.0,8.0,3.0
BLVD Hotel & Spa,AVR00156,2.0,Haagen Dazs Milk Chocolate Almond Ice Cream Bar,0.0,17.0,12.0,15.0,3.0
Sheraton Gateway Los Angeles Hotel,AVR15125,0.0,RXBAR Protein Blueberry,0.0,23.0,20.0,23.0,3.0
Sheraton Gateway Los Angeles Hotel,PC10900,0.0,Cliff Bar Peanut Butter,0.0,21.0,18.0,21.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC10990,0.0,Maruchan Lime Chili Chicken Cup Soup,0.0,4.0,1.0,4.0,3.0
Baymont by Wyndham Monterey Park,PC11061,2.0,Skittles Fruit,0.0,11.0,6.0,9.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC11043,0.0,Reeses PB Cup,0.0,37.0,34.0,37.0,3.0
Behr Cub Den Market,PC11007,0.0,Nature Valley Granola Oat & Honey,0.0,6.0,3.0,6.0,3.0
Behr Cub Den Market,PC10874,0.0,Blue Diamond Almonds Smokehouse,0.0,8.0,5.0,8.0,3.0
Hyatt House Los Angeles-LAX-Manhattan Beach,AVR17147,5.0,Starry 20oz,0.0,16.0,8.0,11.0,3.0
Best Western - Glendora Market,PC10925,0.0,Dolly Madison Chocolate Cupcakes,0.0,3.0,0.0,3.0,3.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10989,0.0,Maruchan Chicken Cup Soup,0.0,9.0,6.0,9.0,3.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10825,0.0,Red Bull 8.4oz,0.0,3.0,0.0,3.0,3.0
Hotel Dena,AVR20432,4.0,Tonys Chocolonely Milk Chocolate Bar 6.35oz,0.0,14.0,7.0,10.0,3.0
WorldMark Palm Springs,AVR17700,4.0,Gatorlyte Zero Strawberry Kiwi 20 oz,0.0,14.0,7.0,10.0,3.0
WorldMark Palm Springs,AVR14634,1.0,Sour Patch Kids Watermelon,0.0,12.0,8.0,11.0,3.0
WorldMark Big Bear,PC10793,2.0,Dr Pepper 20oz,0.0,9.0,4.0,7.0,3.0
WorldMark Big Bear,PC00887,1.0,Sprite 20oz,0.0,13.0,9.0,12.0,3.0
WorldMark Big Bear,PC10989,0.0,Maruchan Chicken Cup Soup,0.0,6.0,3.0,6.0,3.0
Holiday Inn Diamond Bar-Pomona,PC11101,4.0,Welchs Mixed Fruit Snack 2.25oz,0.0,12.0,5.0,8.0,3.0
SureStay by Best Western Ontario Airport,PC11011,0.0,Nongshim Hot and Spicy Noodle Soup,0.0,3.0,0.0,3.0,3.0
SureStay by Best Western Ontario Airport,PC11045,0.0,Rice Krispies Treats Original 1.41oz,0.0,7.0,4.0,7.0,3.0
Comfort Inn - Gaslamp Convention Center,PC10986,0.0,M&M Plain,0.0,10.0,7.0,10.0,3.0
WorldMark - Oceanside Market,PC10972,0.0,Knotts Strawberry Cookie,0.0,15.0,12.0,15.0,3.0
SureStay Plus Hotel By Best Western Upland Market,AVR14634,0.0,Sour Patch Kids Watermelon,0.0,10.0,7.0,10.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC10881,0.0,Bumble Bee Tuna Mayo & Crackers 3.5oz,0.0,10.0,7.0,10.0,3.0
Holiday Inn Express Port Hueneme,PC11004,0.0,Munchies Flamin Hot,0.0,11.0,8.0,11.0,3.0
Baymont by Wyndham Monterey Park,PC00887,0.0,Sprite 20oz,0.0,9.0,6.0,9.0,3.0
WorldMark - Oceanside Market,PC10900,0.0,Cliff Bar Peanut Butter,0.0,21.0,18.0,21.0,3.0
Baymont by Wyndham Monterey Park,PC10851,0.0,Albanese Gummi Bears 12 Flavor - 3.5oz,0.0,4.0,1.0,4.0,3.0
Holiday Inn Oceanside Camp Pendleton Area,PC10989,0.0,Maruchan Chicken Cup Soup,0.0,3.0,0.0,3.0,3.0
WorldMark Palm Springs Plaza Resort & Spa,PC10931,2.0,Doritos Cool Ranch,0.0,7.0,2.0,5.0,3.0
WorldMark - Oceanside Market,PC11068,0.0,Sour Patch Kids,0.0,20.0,17.0,20.0,3.0
WorldMark Palm Springs,PC16271,2.0,Gatorade Fruit Punch 20oz,0.0,12.0,7.0,10.0,3.0
